Date,Slot,Req
17/05/2025,07:00,27.24
17/05/2025,07:15,27.24
11/05/2025,07:30,35.76
11/05/2025,07:45,35.76
12/05/2025,07:30,40.99
12/05/2025,07:45,40.99
13/05/2025,07:30,41.03
13/05/2025,07:45,41.03
14/05/2025,07:30,39.78
14/05/2025,07:45,39.78
15/05/2025,07:30,39.91
15/05/2025,07:45,39.91
16/05/2025,07:30,33.35
16/05/2025,07:45,33.35
17/05/2025,07:30,27.24
17/05/2025,07:45,27.24
11/05/2025,08:00,29.04
11/05/2025,08:15,29.04
12/05/2025,08:00,33.92
12/05/2025,08:15,33.92
13/05/2025,08:00,33.94
13/05/2025,08:15,33.94
14/05/2025,08:00,32.91
14/05/2025,08:15,32.91
15/05/2025,08:00,33.02
15/05/2025,08:15,33.02
16/05/2025,08:00,27.74
16/05/2025,08:15,27.74
17/05/2025,08:00,22.63
17/05/2025,08:15,22.63
11/05/2025,08:30,29.04
11/05/2025,08:45,29.04
12/05/2025,08:30,33.92
12/05/2025,08:45,33.92
13/05/2025,08:30,33.94
13/05/2025,08:45,33.94
14/05/2025,08:30,32.91
14/05/2025,08:45,32.91
15/05/2025,08:30,33.02
15/05/2025,08:45,33.02
16/05/2025,08:30,27.74
16/05/2025,08:45,27.74
17/05/2025,08:30,22.63
17/05/2025,08:45,22.63
11/05/2025,09:00,25.61
11/05/2025,09:15,25.61
12/05/2025,09:00,28.84
12/05/2025,09:15,28.84
13/05/2025,09:00,28.86
13/05/2025,09:15,28.86
14/05/2025,09:00,27.99
14/05/2025,09:15,27.99
15/05/2025,09:00,28.08
15/05/2025,09:15,28.08
16/05/2025,09:00,25.11
16/05/2025,09:15,25.11
17/05/2025,09:00,20.55
17/05/2025,09:15,20.55
11/05/2025,09:30,25.61
11/05/2025,09:45,25.61
12/05/2025,09:30,28.84
12/05/2025,09:45,28.84
13/05/2025,09:30,28.86
13/05/2025,09:45,28.86
14/05/2025,09:30,27.99
14/05/2025,09:45,27.99
15/05/2025,09:30,28.08
15/05/2025,09:45,28.08
16/05/2025,09:30,25.11
16/05/2025,09:45,25.11
17/05/2025,09:30,20.55
17/05/2025,09:45,20.55
11/05/2025,10:00,26.52
11/05/2025,10:15,26.52
12/05/2025,10:00,33.93
12/05/2025,10:15,33.93
13/05/2025,10:00,33.96
13/05/2025,10:15,33.96
14/05/2025,10:00,32.94
14/05/2025,10:15,32.94
15/05/2025,10:00,33.06
15/05/2025,10:15,33.06
16/05/2025,10:00,28.61
16/05/2025,10:15,28.61
17/05/2025,10:00,23.33
17/05/2025,10:15,23.33
11/05/2025,10:30,26.52
11/05/2025,10:45,26.52
12/05/2025,10:30,33.93
12/05/2025,10:45,33.93
13/05/2025,10:30,33.96
13/05/2025,10:45,33.96
14/05/2025,10:30,32.94
14/05/2025,10:45,32.94
15/05/2025,10:30,33.06
15/05/2025,10:45,33.06
16/05/2025,10:30,28.61
16/05/2025,10:45,28.61
17/05/2025,10:30,23.33
17/05/2025,10:45,23.33
11/05/2025,11:00,32.4
11/05/2025,11:15,32.4
12/05/2025,11:00,35.67
12/05/2025,11:15,35.67
13/05/2025,11:00,35.7
13/05/2025,11:15,35.7
14/05/2025,11:00,34.63
14/05/2025,11:15,34.63
15/05/2025,11:00,34.75
15/05/2025,11:15,34.75
16/05/2025,11:00,30.61
16/05/2025,11:15,30.61
17/05/2025,11:00,25.01
17/05/2025,11:15,25.01
11/05/2025,11:30,32.4
11/05/2025,11:45,32.4
12/05/2025,11:30,35.67
12/05/2025,11:45,35.67
13/05/2025,11:30,35.7
13/05/2025,11:45,35.7
14/05/2025,11:30,34.63
14/05/2025,11:45,34.63
15/05/2025,11:30,34.75
15/05/2025,11:45,34.75
16/05/2025,11:30,30.61
16/05/2025,11:45,30.61
17/05/2025,11:30,25.01
17/05/2025,11:45,25.01
11/05/2025,12:00,35.54
11/05/2025,12:15,35.54
12/05/2025,12:00,38.66
12/05/2025,12:15,38.66
13/05/2025,12:00,38.69
13/05/2025,12:15,38.69
14/05/2025,12:00,37.53
14/05/2025,12:15,37.53
15/05/2025,12:00,37.64
15/05/2025,12:15,37.64
16/05/2025,12:00,36.26
16/05/2025,12:15,36.26
17/05/2025,12:00,29.59
17/05/2025,12:15,29.59
11/05/2025,12:30,35.54
11/05/2025,12:45,35.54
12/05/2025,12:30,38.66
12/05/2025,12:45,38.66
13/05/2025,12:30,38.69
13/05/2025,12:45,38.69
14/05/2025,12:30,37.53
14/05/2025,12:45,37.53
15/05/2025,12:30,37.64
15/05/2025,12:45,37.64
16/05/2025,12:30,36.26
16/05/2025,12:45,36.26
17/05/2025,12:30,29.59
17/05/2025,12:45,29.59
11/05/2025,13:00,34.04
11/05/2025,13:15,34.04
12/05/2025,13:00,34.12
12/05/2025,13:15,34.12
